Term,Posting List Size
craftier,16
benisonking,16
governed,416
swaller,32
knowsome,16
hornring,16
mischievouslooking,16
tostatus,16
adráksin,48
stirrst,16
parr,32
beunless,16
briskness,112
uneath,16
chants,48
valued,840
pardonmes,32
puns,64
somerville,96
soldiers,10632
stoutbuilt,16
jacques,1096
tramcar,16
islets,48
westnot,16
crestwounding,16
exlenlency,16
stratagem,520
distinctive,112
vassilyevitch,312
shopboard,16
23,128
passengers,808
herknew,16
valancy,13200
credent,64
teath,16
catchplay,16
thistles,80
cozenageist,16
whirl,240
ghibellines,32
guillotined,32
offenses,32
suppertime,176
filialhearted,16
doublecharge,16
deboraha,16
protector,1104
uphoarded,16
bierreand,16
goodsolidity,16
rapscallion,32
somebody,3768
